Week number,Week ended,"Care home resident deaths, all causes (2021)","Care home resident deaths, all causes (2020)5","Care home resident deaths, all causes: average of corresponding week in 2015-2019 (England and Wales)1","Care home resident deaths, all causes: average of corresponding week in 2015-2019 (England)1","Care home resident deaths, all causes: average of corresponding week in 2015-2019 (Wales)1",E12000001,E12000002,E12000003,E12000004,E12000005,E12000006,E12000007,E12000008,E12000009,W92000004
1,8-Jan-21,"4,110","3,537","2,970","2,807",161,220,447,394,358,406,494,258,872,446,215
2,15-Jan-21,"4,239","3,786","3,697","3,501",194,203,463,344,349,405,575,282,918,450,249
3,22-Jan-21,"4,680","3,439","3,680","3,493",186,220,495,295,382,458,623,290,"1,116",538,261
4,29-Jan-21,"4,800","3,090","3,569","3,387",181,202,519,340,373,476,678,282,"1,116",608,206
5,5-Feb-21,"4,489","3,042","3,406","3,236",168,205,494,324,371,447,696,255,871,626,199
6,12-Feb-21,"3,630","2,877","3,272","3,100",172,197,430,273,378,318,542,222,682,471,117
7,19-Feb-21,"3,018","2,889","3,069","2,914",154,165,413,236,285,340,415,150,498,375,141
8,26-Feb-21,"2,693","2,799","3,166","3,008",156,140,339,222,263,253,349,160,478,346,142
9,5-Mar-21,"2,531","2,848","3,005","2,848",155,145,318,243,248,257,318,158,401,309,133
10,12-Mar-21,"2,278","2,809","3,097","2,930",166,136,284,202,212,226,299,143,355,304,115
11,19-Mar-21,"2,126","2,891","3,024","2,872",151,111,274,214,182,233,227,125,373,270,117
12,26-Mar-21,"2,141","2,725","2,788","2,642",145,129,274,217,217,210,231,143,355,253,112
13,2-Apr-21,"1,742","2,899","2,648","2,505",141,105,240,163,136,195,187,108,315,212,80
14,9-Apr-21,"1,903","4,498","2,667","2,527",139,126,238,184,178,188,204,116,331,239,99
15,16-Apr-21,"2,265","5,807","2,689","2,549",140,130,253,233,227,221,275,147,384,296,98
16,23-Apr-21,"2,056","8,476","2,683","2,546",135,115,242,211,197,204,254,133,359,242,99
17,30-Apr-21,"2,019","9,015","2,684","2,550",132,119,279,190,176,194,243,130,342,258,88
18,7-May-21,"1,674","7,283","2,492","2,362",129,96,232,163,137,141,201,118,285,196,104
19,14-May-21,"2,273","4,816","2,411","2,285",126,137,276,227,212,250,259,130,405,271,106
20,21-May-21,"2,129","5,077","2,533","2,404",127,115,275,218,189,219,239,125,375,282,92
21,28-May-21,"2,160","3,835","2,448","2,320",127,133,288,203,194,215,224,141,378,270,112
22,4-Jun-21,"1,669","2,883","1,994","1,885",107,100,250,181,141,163,158,109,313,186,68
23,11-Jun-21,"2,248","2,763","2,469","2,340",129,118,285,219,210,217,240,151,396,292,118
24,18-Jun-21,"2,020","2,453","2,293","2,172",120,102,253,179,210,195,217,118,349,281,115
25,25-Jun-21,"1,839","2,204","2,363","2,248",114,101,243,159,159,183,198,141,311,245,97
26,2-Jul-21,"1,880","2,061","2,281","2,173",107,108,267,190,167,176,216,108,295,254,99
27,9-Jul-21,"2,048","2,107","2,283","2,171",111,98,275,206,165,230,240,146,331,258,99
28,16-Jul-21,"2,173","1,910","2,312","2,194",116,149,259,245,170,216,233,154,360,290,97
29,23-Jul-21,"2,253","2,028","2,275","2,169",105,152,287,203,221,235,224,160,373,293,105
30,30-Jul-21,"2,391","2,084","2,233","2,124",108,131,296,244,239,240,255,147,380,323,133
31,6-Aug-21,"2,337","1,978","2,261","2,155",105,130,292,218,203,254,263,135,381,321,139
32,13-Aug-21,"2,400","2,044","2,260","2,147",112,147,291,232,222,226,268,173,379,348,114
33,20-Aug-21,"2,188","2,227","2,303","2,185",116,130,303,225,213,192,233,120,382,288,102
34,27-Aug-21,"2,315","2,275","2,339","2,218",120,123,296,234,243,186,247,146,422,303,115
35,3-Sep-21,"1,985","1,997","2,048","1,942",105,125,290,200,197,191,215,107,310,238,109
36,10-Sep-21,"2,597","1,785","2,367","2,248",119,141,389,257,207,276,296,164,425,329,113
37,17-Sep-21,"2,576","2,305","2,325","2,209",115,130,336,248,213,283,265,171,455,341,131
38,24-Sep-21,"2,394","2,201","2,356","2,237",118,144,286,239,230,244,269,143,390,310,139
39,1-Oct-21,"2,365","2,204","2,386","2,262",123,145,289,230,234,229,270,135,404,300,126
40,8-Oct-21,"2,523","2,268","2,453","2,327",124,150,341,250,220,245,276,156,423,314,147
41,15-Oct-21,"2,544","2,323","2,584","2,445",138,121,375,259,256,264,291,126,397,323,129
42,22-Oct-21,"2,635","2,592","2,579","2,447",131,131,388,286,217,259,318,140,465,305,124
43,29-Oct-21,"2,597","2,531","2,521","2,383",137,159,354,260,224,265,305,143,455,309,123
44,5-Nov-21,"2,730","2,478","2,646","2,517",128,148,347,276,226,284,329,185,468,316,150
45,12-Nov-21,"2,805","2,722","2,738","2,599",137,168,378,254,252,329,316,181,480,320,125
46,19-Nov-21,"2,836","2,871","2,731","2,588",142,183,360,296,241,292,358,175,469,331,130
47,26-Nov-21,"2,560","2,930","2,701","2,562",138,134,296,262,250,261,273,149,482,317,135
48,3-Dec-21,"2,725","2,860","2,715","2,574",140,135,344,259,263,280,324,194,502,316,107
49,10-Dec-21,"2,707","2,905","2,865","2,720",144,183,322,256,251,276,329,166,459,338,127
50,17-Dec-21,"2,953","2,928","2,915","2,766",149,162,408,271,260,312,334,185,518,356,144
51,24-Dec-21,"3,136","3,104","3,132","2,976",154,191,393,314,297,298,382,194,541,381,142
52,31-Dec-21,"2,075","2,613","2,199","2,083",115,102,270,206,178,224,217,133,375,253,117
