Week number,Week ended,"Total deaths
England and Wales (2023)","Total deaths
England and Wales (2022)","Five-year average
England and Wales","Five-year average
England","Five-year average
Wales","Total deaths
North East","Total deaths
North West","Total deaths
Yorkshire and The Humber","Total deaths
East Midlands","Total deaths
West Midlands","Total deaths
East","Total deaths
London","Total deaths
South East","Total deaths
South West","Total deaths
Wales",
1,6 Jan 2023,"4,117","2,912","3,305","3,133",172,249,527,425,393,388,433,260,681,514,247,
2,13 Jan 2023,"4,597","3,101","3,585","3,389",195,272,579,445,383,481,523,261,810,575,267,
3,20 Jan 2023,"4,021","2,867","3,591","3,409",181,247,528,394,357,425,455,235,708,475,197,
4,27 Jan 2023,"3,465","2,818","3,522","3,351",170,195,434,344,313,370,395,181,649,423,158,
5,3 Feb 2023,"3,146","2,679","3,387","3,226",159,163,418,293,291,397,320,187,582,338,157,
6,10 Feb 2023,"2,997","2,686","3,241","3,088",153,175,392,285,241,318,349,183,538,380,135,
7,17 Feb 2023,"2,815","2,497","2,995","2,846",148,164,379,244,262,303,314,187,485,338,137,
8,24 Feb 2023,"2,759","2,532","2,993","2,843",149,138,320,279,240,268,334,183,495,385,116,
9,3 Mar 2023,"2,796","2,482","2,798","2,655",142,165,366,272,250,288,331,156,510,334,124,
10,10 Mar 2023,"2,713","2,552","2,872","2,724",147,152,368,236,254,256,330,173,477,345,122,
11,17 Mar 2023,"2,872","2,534","2,790","2,646",142,155,390,262,254,333,315,168,475,362,156,
12,24 Mar 2023,"2,766","2,468","2,656","2,513",142,159,376,248,224,297,320,198,449,336,159,
13,31 Mar 2023,"2,676","2,191","2,351","2,222",128,156,341,264,228,287,305,176,460,318,138,
14,7 Apr 2023,"2,264","2,451","2,454","2,323",130,132,297,204,200,248,261,133,402,279,104,
15,14 Apr 2023,"2,249","2,189","2,494","2,366",127,145,313,183,199,232,253,134,417,266,106,
16,21 Apr 2023,"2,965","2,524","2,446","2,317",128,185,380,282,259,319,317,180,498,380,163,
17,28 Apr 2023,"2,736","2,928","2,587","2,461",124,157,359,268,251,299,286,173,466,346,131,
18,5 May 2023,"2,340","2,266","2,299","2,175",123,157,302,228,221,226,271,128,421,274,111,
19,12 May 2023,"2,361","2,785","2,435","2,313",121,128,300,240,201,230,288,169,412,289,102,
20,19 May 2023,"2,640","2,575","2,446","2,327",118,143,338,280,228,273,309,166,473,321,109,
21,26 May 2023,"2,547","2,471","2,408","2,283",124,149,317,257,232,251,261,137,462,339,141,
22,2 Jun 2023,"1,857","1,471","1,829","1,736",93,105,248,171,155,177,222,132,343,218,83,
